	Control_1a	Control_1b	Control_2a	Control_2b	Control_3a	Control_3b	PB_1a	PB_1b	PB_2a	PB_2b	PB_3a	PB_3b	Standard_1a	Standard_2a	Standard_2b	Standard_3a	Styrofoam_1a	Styrofoam_1b	Styrofoam_2a	Styrofoam_2b	Styrofoam_3a	Styrofoam_3b
Mealworm_MAG_0001	1.23E-03	3.25E-04	8.498414818	1.07692536	3.047491451	0.389926856	4.80E-03	0.010353368	0.406607283	1.104334277	0.067471951	3.10E-03	0	17.26579214	0.072648635	7.50E-05	0.10155804	2.13E-03	3.190462964	1.331383143	3.35E-03	7.25E-04
Mealworm_MAG_0002	6.735652919	12.63747056	0.014095594	12.46354787	44.15949435	18.14495817	19.52563318	43.18204576	9.400143883	21.02084453	20.31205951	4.742936413	1.364884871	2.70E-04	0.024648034	2.16E-03	1.798151089	1.537883258	9.009549573	5.876206791	4.643111876	1.619029206
Mealworm_MAG_0003	7.53E-04	1.51E-03	0.025162021	4.601460703	3.49E-03	0.006353285	1.28E-03	2.03E-03	0.145447532	0.530059826	0.015770209	1.41E-03	0	1.274750188	0.09582662	4.27E-04	4.52E-04	1.36E-03	0.321782576	0.761490154	7.03E-04	6.28E-04
Mealworm_MAG_0004	73.07896718	153.1788691	228.2446503	367.7617006	146.5299766	356.3078524	137.1209124	17.65763678	213.1202196	61.36053807	3.75683976	24.17432977	31.84769215	333.8663578	23.08426062	32.68426778	2.414141641	2.916396433	354.6553744	41.22661862	74.39254381	8.531900475
Mealworm_MAG_0005	32.2087712	22.20364401	11.59162701	4.492324265	1.261395009	7.560337084	7.193829707	6.714229734	0.862100487	3.719532952	0.470960281	0.920661095	0.014464203	0.018638436	1.12E-03	0.031816393	2.462312176	1.923836101	1.507917452	1.193005538	0.556410716	1.007834615
Mealworm_MAG_0006	0.324275466	0.133327318	0.017650337	3.221898765	2.93E-03	0.046025429	0.101034326	0.292576094	1.79143001	0.948606652	0.070917944	0.018639705	2.702044906	7.283098734	9.049557079	1.39E-03	0.015909048	0.069176655	0.067593666	0.440071171	0.038268779	0.012545194
Mealworm_MAG_0007	445.5966807	191.3761067	42.4547319	120.0021837	186.0016257	151.8794609	114.0967707	397.0920699	66.38220462	218.9040198	132.4260558	72.01557486	18.16639785	21.45335525	0.018453318	0.823375565	45.11319099	62.12414933	88.1181702	125.8368484	8.279729317	99.06076441
Mealworm_MAG_0008	7.836492262	34.96640894	0.715916927	17.74155421	22.26787339	8.257831737	30.63089137	20.77973971	53.07837635	27.06353417	2.184071743	13.76839535	2.612556515	0.55375479	0.187444604	1.129982884	1.980016944	9.582870773	6.795819779	41.93790048	2.294235225	0.933516321
Mealworm_MAG_0009	153.6453085	171.4226801	71.69026577	252.6481808	25.07656577	139.7054088	85.41693637	199.7869196	40.95285332	401.1547537	854.9081348	207.149036	3.573671712	0.604863888	0.5412554	103.6368914	350.7248531	472.0595541	411.998011	586.3702517	145.558762	96.52080325
Mealworm_MAG_0010	0.697358655	11.27824824	0.241761303	2.350249344	1.47187879	0.386796449	110.9135303	1.702775979	0.532310668	0.155219287	0.449292148	49.46542276	0.574345361	0.484743467	0.004018022	1.088791284	0.734262643	0.797175598	0.148697728	0.497709315	0.380182167	0.403131255
Mealworm_MAG_0011	0.07038001	6.6839144	2.46E-04	3.01E-04	7.65E-04	0.035231003	0.106540303	1.75E-03	5.47E-05	2.19E-04	2.19E-04	2.73E-04	1.09E-04	0	8.20E-04	0	4.92E-04	0.00614971	2.73E-05	0.005165756	4.92E-04	0.005575737
Mealworm_MAG_0012	1.992549783	19.86430558	0.047442204	0.478633555	0.135542649	0.181391304	1.168047995	1.384838832	0.153686332	0.179797756	0.127324493	0.177134254	0.213899685	0.088783394	0.008855574	0.201948075	0.083274271	0.939260017	0.116169657	0.184168631	0.090559062	0.194139689
Mealworm_MAG_0013	166.9683174	70.2946883	179.3644243	110.5377681	233.6629971	82.50675916	198.6550464	222.0451815	166.7877567	5.676089861	36.45563651	5.759174754	114.822343	0.329323594	0.005986032	252.9727102	758.7947051	82.13294604	58.30560095	27.50677958	287.7528856	28.96299275
Mealworm_MAG_0014	203.1320425	233.9873851	6.583489449	61.49842354	196.5816684	36.64992833	241.6285137	29.44562703	90.89978468	283.9238727	71.2909095	202.1564788	633.3557164	133.035495	0.011839483	327.1437848	171.0023935	419.3639682	111.3763706	93.09789122	139.9112386	112.410555
Mealworm_MAG_0015	16.67598049	27.43718069	13.61200557	10.64000763	36.69542191	3.897193913	6.355072322	4.478832731	22.04213317	19.52293678	12.42662245	4.774864436	3.908874803	0.062707935	2.010182243	14.53931319	13.51128796	8.659923054	35.05680958	15.34417194	2.117502089	0.54932258
Mealworm_MAG_0016	132.3427746	126.6509688	0.465887176	111.6118621	65.00771873	30.07649938	86.34541435	101.248802	69.55944938	267.8672518	63.93116571	21.84912564	1.576789708	140.4866881	236.3765458	30.26661101	6.484642991	118.1411035	23.44711271	86.10937511	53.93671574	3.346874147
Mealworm_MAG_0017	2.292939695	0.329947649	105.2462784	75.68026272	2.743487616	2.930863284	3.144628254	9.210773097	4.577811472	40.14738173	4.914199506	19.58727907	1.40E-04	173.9618115	0.818207859	0.020390676	185.9824524	1.420813959	44.8709505	29.54488103	4.626288736	0.101767378
Mealworm_MAG_0018	0.228202368	0.165919844	0.588129271	1.728915813	0.180789546	0.137256865	0.187823867	0.158835457	0.546524144	1.416126367	0.197862167	0.131874734	0.271885248	9.857060605	0.191428643	0.254987859	0.847798333	0.137582297	0.996770721	1.938843968	0.114526748	0.063233785
Mealworm_MAG_0019	2.982133804	148.5019369	3.161999793	111.1787519	1.239590792	0.473081178	7.626203098	3.124583074	0.369410129	0.455020763	0.214838564	1.418488966	0.849380839	1.482463189	0.007086375	0.559544801	21.29734694	0.580361029	0.391423823	28.65498953	0.275384425	0.260539124
Mealworm_MAG_0020	3.687451731	2.016183878	0.643695319	2.315251346	18.01110624	4.328956924	4.155216534	11.10062476	1.917138312	9.777212315	43.59347804	2.925172617	0.255783662	0.138957731	0.010547186	0.123223404	0.717727341	3.6672507	5.875531682	2.490115616	3.786468479	5.631159729
Mealworm_MAG_0021	16.24850092	86.34100459	1.865820469	11.21291576	15.22691691	16.52767404	28.90389855	18.0695609	3.120102536	6.164804123	15.38558568	6.076917036	3.400929716	0.825497166	0.036651558	28.59164422	21.57475694	89.34324523	1.735653985	3.130228613	22.41943717	8.231068472
Mealworm_MAG_0022	8.47800613	4.173934907	0.07039279	0.582749268	0.007573664	0.06508738	3.07598423	5.381722941	0.616888426	1.18637417	0.270383666	0.084040764	1.77E-03	0.112874512	5.625502668	0.83956185	0.042327942	0.010380149	0.215830215	0.13432682	0.1421696	0.0038445
Mealworm_MAG_0023	2.98E-03	0.007756518	0.290818846	1.587101652	0.064345377	0.02593375	0.006896556	0.011078331	0.36351091	1.201130563	0.126178316	0.027619949	0	45.51878966	0.203726636	1.69E-03	0.455897787	0.007031452	1.683181306	2.086840629	2.88E-03	3.37E-03
Mealworm_MAG_0024	3.172045716	6.580705798	2.38E-03	4.68E-03	2.36E-03	1.45E-03	6.159777412	5.645854869	6.53E-04	2.50E-03	0.005533677	0.00510801	9.65E-04	7.38E-04	8.23E-04	5.96E-04	1.28E-03	0.037288472	1.45E-03	0.007321481	9.93E-04	6.24E-04
Mealworm_MAG_0025	7.92E-05	0.00639177	0	0	7.92E-05	1.06E-04	0.067958779	0.099917629	2.64E-05	3.17E-04	0.064208236	0.028287544	5.28E-05	2.64E-05	0	0	0.008689638	5.531892115	7.92E-05	1.06E-04	0.049100416	0.007923682
Mealworm_MAG_0026	250.4706903	65.80122924	172.4801651	149.9147969	238.6221869	103.3891795	156.1482973	174.7937361	98.48178175	52.61561478	87.37218233	59.84914232	350.7624581	291.2257532	1.582849866	1169.331138	222.177899	85.97241504	52.85218964	53.97442888	154.4023214	147.3392196
Mealworm_MAG_0027	22.31004622	24.31286099	2.284890122	21.59471961	23.17246019	24.86072405	27.96514844	66.72414985	18.22005334	35.25882059	43.50641667	9.779997181	23.83918979	48.82805436	2.920772925	25.77060486	6.724003595	6.606599619	13.52731803	9.123173125	11.08889196	5.736108304
Mealworm_MAG_0028	1.456989128	7.213213266	2.339077411	8.067384188	12.99779851	6.05063943	2.547830588	2.15289736	0.259880341	1.458378244	5.361445256	0.080124948	0.142673728	0.073449477	1.39E-03	0.082498021	2.585780449	1.827477783	0.054542073	0.136673521	0.090022396	0.029055664
