	Control_1a	Control_1b	Control_2a	Control_2b	Control_3a	Control_3b	PB_1a	PB_1b	PB_2a	PB_2b	PB_3a	PB_3b	Standard_1a	Standard_2a	Standard_2b	Standard_3a	Styrofoam_1a	Styrofoam_1b	Styrofoam_2a	Styrofoam_2b	Styrofoam_3a	Styrofoam_3b
Mealworm_MAG_0001	1.95726381987126e-05	5.42976545521422e-06	0.29467617153618	0.0187088501151513	0.0575456482829928	0.00783065722711818	9.63743947615934e-05	0.000178453512304347	0.00950331358208145	0.0221695722449539	0.00131877509633327	7.89614533884596e-05	0	0.266632171637528	0.00467780400003825	1.12488746824414e-06	0.0015007104014234	4.40039911225794e-05	0.0783348093402629	0.0264965768814451	6.01920215935356e-05	2.14578687086411e-05
Mealworm_MAG_0002	0.107584985676329	0.21106516057488	0.000488754180432183	0.216522572224986	0.833861807719179	0.364393848617316	0.3919080995149	0.744297654006577	0.219702201097152	0.421994627314166	0.397009985531764	0.120770100698211	0.0224250634608846	4.16319150089722e-06	0.00158707277809023	3.23367847111586e-05	0.0265710527439262	0.0318357576164553	0.221209697772614	0.116945573320849	0.083399213937518	0.0479029155419235
Mealworm_MAG_0003	1.20329198861199e-05	2.51643345629487e-05	0.000872474251903436	0.0799387235404514	6.59117125401018e-05	0.000127589046334549	2.57055614140161e-05	3.50595437595805e-05	0.00339943126548444	0.0106409805995644	0.000308237105707487	3.58078262598876e-05	0	0.0196857119654418	0.00617022118494201	6.40078482153413e-06	6.67932984247952e-06	2.80713555396064e-05	0.00790066426942456	0.0151548279063226	1.26295723443629e-05	1.85748397977173e-05
Mealworm_MAG_0004	1.16725130175029	2.55832228867246	7.91421237543014	6.38892795397444	2.76691916457622	7.15550779668573	2.75221785090945	0.304351899023197	4.98109198410194	1.23181622659866	0.0734294273637898	0.61555458182131	0.523257699593741	5.15583132887637	1.48638231997663	0.490055493178568	0.035673467736203	0.0603723914038759	8.70778361924688	0.820473261528474	1.33623307859136	0.252437019819655
Mealworm_MAG_0005	0.51445349539712	0.370834944128848	0.401930988463696	0.0780427543842048	0.0238188670022169	0.151829522084612	0.144390714602628	0.115728316067036	0.0201491995157974	0.0746698316166433	0.00920516868888756	0.0234429314406026	0.000237646911964784	0.000287829641251839	7.18820821312255e-05	0.000477042912690643	0.0363852776772404	0.0398253765327632	0.0370236004843579	0.0237426492355526	0.00999420595210727	0.0298192375094529
Mealworm_MAG_0006	0.0051794787733566	0.00222677090716143	0.000612012205878669	0.0559723294932724	5.52993265903732e-05	0.000924299913327311	0.00202790711766842	0.00504292227959583	0.0418696906284609	0.0190433314931822	0.00138612886394778	0.000474625606623899	0.044394607782136	0.112471435788928	0.582695797266482	2.07679044960639e-05	0.000235085999733738	0.00143202757484941	0.0016596139682547	0.00875809467781258	0.000687380828408672	0.000371180077228837
Mealworm_MAG_0007	7.11727772930515	3.1962748013866	1.47208604537864	2.08473395950321	3.51226059370899	3.05010024081494	2.29008955332867	6.84438846970265	1.55149928017105	4.39451041492811	2.58833755760938	1.83374337550008	0.298473983695957	0.331299870455709	0.00118819859071542	0.0123453803959766	0.666631955696553	1.28603348157829	2.16354809311172	2.50434726094522	0.148719853222327	2.93095356931204
Mealworm_MAG_0008	0.12516810440948	0.583992713096656	0.0248238834824061	0.308214562452685	0.420483282960458	0.165836871041131	0.614806921304426	0.358165326508651	1.24055932112347	0.543301959114829	0.0426888415989565	0.350586714383423	0.0429243131911453	0.00855152437108338	0.0120694506641567	0.016942534041165	0.0292584616234293	0.198375234069069	0.166856425765077	0.834628866910611	0.0412088744436102	0.0276203500978182
Mealworm_MAG_0009	2.45409442989752	2.86302194272726	2.48580629542068	4.389122146285	0.473519698915701	2.805616364572	1.71444320821285	3.44358246427632	0.957158967849545	8.05320407055498	16.7096333099318	5.27466694879189	0.0587154394255891	0.00934079193640953	0.0348511251814829	1.55389217385906	5.18261709301587	9.77211597178628	10.1157060919788	11.6696719000279	2.61451514834387	2.85580264255511
Mealworm_MAG_0010	0.0111385372497701	0.188364061089199	0.00838289219277558	0.0408296288261642	0.0277934230639466	0.00776779122615427	2.2261972486165	0.029349516554315	0.0124412803483765	0.00311603585352328	0.00878165353520338	1.25954547298902	0.00943649640362004	0.00748579631961604	0.000258718146149039	0.0163249228442934	0.010850106836498	0.0165023508762122	0.00365094605774273	0.00990518259343843	0.00682880247420647	0.0119276183428092
